Table with row headings in column A and column headings in row 2.,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
ROSARIO,865.0,36539.0,13.54,38860.57,6.17,1.69,4.11,0.16,1.09,86.79
RUBIO,866.0,36531.0,13.54,38874.11,6.4,0.39,1.85,0.42,0.53,90.41
MULLEN,867.0,36442.0,13.51,38887.62,89.68,6.41,0.58,0.56,1.24,1.54
BENJAMIN,868.0,36439.0,13.51,38901.13,53.29,39.24,1.82,0.94,2.37,2.35
HALEY,869.0,36433.0,13.51,38914.63,83.27,12.9,0.4,0.66,1.36,1.41
CHUNG,870.0,36422.0,13.5,38928.13,2.34,1.93,91.02,0.04,3.62,1.05
MOYER,871.0,36421.0,13.5,38941.63,94.94,2.26,0.41,0.35,0.95,1.09
CHOI,872.0,36390.0,13.49,38955.12,1.5,0.15,96.46,0.03,1.51,0.35
HORNE,873.0,36288.0,13.45,38968.58,73.44,22.96,0.42,0.54,1.39,1.25
YU,874.0,36285.0,13.45,38982.03,1.45,(S),96.22,(S),1.68,0.56
WOODWARD,875.0,36242.0,13.43,38995.46,91.25,4.72,0.59,0.54,1.42,1.49
ALI,876.0,36079.0,13.37,39008.84,15.25,21.83,41.9,0.58,17.49,2.95
NIXON,877.0,36037.0,13.36,39022.19,65.46,29.85,0.42,0.64,1.75,1.89
HAYDEN,878.0,36024.0,13.35,39035.55,82.78,13.35,0.44,0.39,1.66,1.39
RIVERS,879.0,35980.0,13.34,39048.89,42.48,50.21,0.54,1.98,2.26,2.53
ESTES,880.0,35839.0,13.29,39062.17,88.53,6.72,0.46,1.18,1.49,1.63
MCCARTY,881.0,35718.0,13.24,39075.41,90.18,5.82,0.34,0.81,1.37,1.49
RICHMOND,882.0,35715.0,13.24,39088.65,74.23,21.73,0.46,0.59,1.67,1.32
STUART,883.0,35701.0,13.23,39101.89,85.41,9.81,0.46,0.53,1.66,2.14
MAYNARD,884.0,35648.0,13.21,39115.1,88.94,6.64,0.35,0.73,1.37,1.96
BRANDT,885.0,35616.0,13.2,39128.3,95.56,0.8,0.54,0.34,1.08,1.69
OCONNELL,886.0,35610.0,13.2,39141.5,96.43,0.29,0.5,0.2,1.12,1.45
HANNA,887.0,35599.0,13.2,39154.7,87.38,6.46,0.61,0.63,3.14,1.77
SANFORD,888.0,35565.0,13.18,39167.88,78.41,17.36,0.41,0.62,1.6,1.6
SHEPPARD,889.0,35554.0,13.18,39181.06,70.37,25.26,0.39,0.7,1.56,1.72
CHURCH,890.0,35539.0,13.17,39194.24,90.86,5.22,0.37,0.7,1.41,1.44
BURCH,891.0,35521.0,13.17,39207.41,80.58,14.86,0.46,0.82,1.56,1.73
LEVY,892.0,35464.0,13.15,39220.55,82.6,11.23,0.62,0.17,1.77,3.6
RASMUSSEN,893.0,35453.0,13.14,39233.69,96.02,0.2,0.67,0.32,1.18,1.62
COFFEY,894.0,35442.0,13.14,39246.83,89.96,6.37,0.39,0.62,1.31,1.36
PONCE,895.0,35400.0,13.12,39259.96,6.34,0.36,1.93,0.22,0.49,90.66
FAULKNER,896.0,35389.0,13.12,39273.07,81.58,14.54,0.41,0.52,1.44,1.5
DONALDSON,897.0,35387.0,13.12,39286.19,74.7,21.23,0.42,0.44,1.66,1.55
SCHMITT,898.0,35326.0,13.1,39299.29,96.82,0.19,0.42,0.32,0.88,1.37
NOVAK,899.0,35282.0,13.08,39312.37,96.84,0.27,0.44,0.24,0.95,1.26
COSTA,900.0,35227.0,13.06,39325.42,83.35,1.21,1.38,0.36,5.22,8.48
MONTES,901.0,35196.0,13.05,39338.47,5.88,0.61,0.83,0.36,0.48,91.83
BOOKER,902.0,35101.0,13.01,39351.48,30.09,65.57,0.18,0.33,2.34,1.49
CORDOVA,903.0,35074.0,13.0,39364.48,11.18,0.64,1.29,0.84,0.72,85.32
WALLER,904.0,35001.0,12.97,39377.46,71.82,24.64,0.38,0.39,1.52,1.26
ARELLANO,905.0,34999.0,12.97,39390.43,5.02,0.15,2.78,0.3,0.52,91.23
MADDOX,906.0,34970.0,12.96,39403.4,72.36,23.99,0.27,0.58,1.56,1.23
MATA,907.0,34888.0,12.93,39416.33,6.15,0.21,2.42,0.35,0.82,90.05
BONILLA,908.0,34824.0,12.91,39429.24,5.49,0.85,1.14,0.19,0.53,91.81
STANTON,909.0,34812.0,12.9,39442.14,84.09,11.72,0.48,0.64,1.53,1.54
COMPTON,910.0,34788.0,12.9,39455.04,88.96,7.22,0.34,0.74,1.22,1.51
KAUFMAN,911.0,34786.0,12.9,39467.93,95.77,1.31,0.46,0.23,0.93,1.29
DUDLEY,912.0,34770.0,12.89,39480.82,68.68,26.99,0.4,0.65,1.69,1.59
MCPHERSON,913.0,34763.0,12.89,39493.71,76.9,18.88,0.43,0.67,1.7,1.43
BELTRAN,914.0,34736.0,12.88,39506.59,5.93,0.3,3.49,0.28,0.5,89.5
DICKSON,915.0,34698.0,12.86,39519.45,78.17,16.55,0.53,1.25,1.59,1.91
MCCANN,916.0,34692.0,12.86,39532.31,91.23,5.39,0.49,0.4,1.12,1.38
VILLEGAS,917.0,34684.0,12.86,39545.17,4.47,0.33,3.2,0.39,0.49,91.11
PROCTOR,918.0,34682.0,12.86,39558.02,72.28,21.24,0.41,2.25,2.32,1.5
HESTER,919.0,34675.0,12.85,39570.88,75.85,20.78,0.42,0.37,1.45,1.14
CANTRELL,920.0,34674.0,12.85,39583.73,91.12,4.65,0.36,1.28,1.22,1.37
DAUGHERTY,921.0,34650.0,12.84,39596.58,91.64,4.17,0.43,0.98,1.43,1.34
CHERRY,922.0,34615.0,12.83,39609.41,60.87,34.98,0.51,0.44,1.81,1.38
BRAY,923.0,34575.0,12.82,39622.22,83.07,12.27,0.47,0.82,1.62,1.75
DAVILA,924.0,34541.0,12.8,39635.03,6.71,0.72,0.35,0.21,0.41,91.6
ROWLAND,925.0,34498.0,12.79,39647.82,88.72,6.97,0.47,0.99,1.37,1.48
LEVINE,926.0,34472.0,12.78,39660.6,92.54,3.96,0.45,0.15,1.04,1.87
MADDEN,926.0,34472.0,12.78,39673.37,86.7,9.78,0.46,0.39,1.37,1.29
SPENCE,928.0,34435.0,12.76,39686.14,75.73,19.67,0.46,0.58,1.74,1.81
GOOD,929.0,34430.0,12.76,39698.9,91.3,5.11,0.48,0.44,1.18,1.47
IRWIN,930.0,34374.0,12.74,39711.64,93.92,2.15,0.49,0.66,1.31,1.47
WERNER,931.0,34352.0,12.73,39724.38,96.4,0.37,0.59,0.27,0.97,1.39
KRAUSE,932.0,34345.0,12.73,39737.11,96.58,0.39,0.51,0.36,0.85,1.3
PETTY,933.0,34278.0,12.71,39749.82,75.78,20.32,0.33,0.56,1.56,1.46
WHITNEY,934.0,34251.0,12.7,39762.51,87.11,8.41,0.72,0.66,1.46,1.64
BAIRD,935.0,34233.0,12.69,39775.2,93.1,2.99,0.56,0.61,1.23,1.5
HOOPER,936.0,34084.0,12.63,39787.84,81.92,13.06,0.47,1.19,1.57,1.8
POLLARD,937.0,34079.0,12.63,39800.47,65.1,30.34,0.46,0.49,2.08,1.54
ZAVALA,938.0,34068.0,12.63,39813.1,4.1,0.17,0.16,0.16,0.31,95.1
JARVIS,939.0,34050.0,12.62,39825.72,87.02,8.4,0.45,0.5,1.69,1.94
HOLDEN,940.0,34041.0,12.62,39838.34,78.91,16.9,0.37,0.85,1.55,1.41
HAAS,941.0,34032.0,12.62,39850.96,96.67,0.23,0.42,0.37,0.92,1.39
HENDRIX,941.0,34032.0,12.62,39863.57,80.35,15.49,0.32,0.71,1.77,1.35
MCGRATH,943.0,34031.0,12.62,39876.19,95.91,0.59,0.51,0.38,0.99,1.61
BIRD,944.0,33962.0,12.59,39888.78,90.03,3.09,0.74,2.63,1.58,1.92
LUCERO,945.0,33922.0,12.57,39901.35,11.88,0.22,2.46,3.08,0.88,81.49
TERRELL,946.0,33914.0,12.57,39913.92,57.43,38.31,0.27,0.77,1.75,1.47
RIGGS,947.0,33868.0,12.55,39926.48,89.44,5.83,0.34,1.46,1.48,1.44
JOYCE,948.0,33843.0,12.55,39939.02,89.32,7.51,0.49,0.29,1.17,1.22
MERCER,949.0,33797.0,12.53,39951.55,83.74,12.35,0.39,0.64,1.27,1.61
ROLLINS,949.0,33797.0,12.53,39964.08,70.86,25.07,0.31,0.53,1.64,1.59
GALLOWAY,951.0,33773.0,12.52,39976.6,72.1,23.51,0.4,0.55,1.65,1.79
DUKE,952.0,33745.0,12.51,39989.11,87.36,7.93,0.53,0.52,1.37,2.28
ODOM,953.0,33717.0,12.5,40001.61,71.3,25.06,0.35,0.58,1.46,1.25
ANDERSEN,954.0,33508.0,12.42,40014.03,95.51,0.57,0.63,0.41,1.16,1.72
DOWNS,955.0,33494.0,12.42,40026.45,85.69,9.75,0.39,0.61,1.37,2.19
HATFIELD,956.0,33464.0,12.41,40038.85,93.68,2.77,0.36,0.61,1.32,1.26
BENITEZ,957.0,33441.0,12.4,40051.25,4.97,0.53,1.84,0.12,0.44,92.11
ARCHER,958.0,33411.0,12.39,40063.63,81.9,12.99,0.43,0.65,1.96,2.07
HUERTA,959.0,33348.0,12.36,40075.99,4.44,0.22,0.3,0.19,0.25,94.6
TRAVIS,960.0,33339.0,12.36,40088.35,76.04,20.02,0.49,0.42,1.45,1.58
MCNEIL,961.0,33239.0,12.32,40100.68,55.32,40.8,0.3,0.67,1.57,1.34
HINTON,962.0,33209.0,12.31,40112.99,55.63,40.04,0.31,1.14,1.7,1.18
ZHANG,963.0,33202.0,12.31,40125.29,0.61,0.09,98.16,0.02,0.96,0.16
HAYS,964.0,33194.0,12.3,40137.6,92.62,3.52,0.44,0.6,1.32,1.5
MAYO,965.0,33126.0,12.28,40149.88,67.05,22.51,1.74,0.91,1.91,5.87
FRITZ,966.0,33068.0,12.26,40162.14,94.65,2.1,0.45,0.41,0.94,1.45
BRANCH,967.0,33040.0,12.25,40174.38,49.23,46.39,0.27,0.49,1.76,1.86
MOONEY,968.0,32953.0,12.22,40186.6,92.39,3.97,0.49,0.6,1.26,1.29
EWING,969.0,32925.0,12.21,40198.8,78.68,17.11,0.56,0.43,1.57,1.64
RITTER,970.0,32864.0,12.18,40210.99,94.11,2.86,0.36,0.38,1.1,1.2
ESPARZA,971.0,32772.0,12.15,40223.14,5.4,0.14,0.15,0.35,0.23,93.72
FREY,972.0,32735.0,12.13,40235.27,96.24,0.87,0.43,0.29,0.97,1.2
BRAUN,973.0,32676.0,12.11,40247.38,95.97,0.5,0.54,0.24,0.96,1.78
GAY,974.0,32672.0,12.11,40259.5,73.81,21.5,0.65,0.74,1.46,1.84
RIDDLE,975.0,32654.0,12.1,40271.6,89.84,5.62,0.42,1.06,1.64,1.43
HANEY,976.0,32644.0,12.1,40283.7,88.96,7.03,0.36,0.82,1.51,1.31
KAISER,977.0,32567.0,12.07,40295.77,94.64,1.69,0.7,0.48,1.09,1.4
HOLDER,978.0,32466.0,12.04,40307.81,76.28,18.99,0.4,0.79,1.8,1.75
CHANEY,979.0,32433.0,12.02,40319.83,73.58,22.34,0.38,0.81,1.56,1.34
MCKNIGHT,980.0,32386.0,12.01,40331.84,62.47,33.86,0.38,0.42,1.62,1.24
GAMBLE,981.0,32377.0,12.0,40343.84,59.63,35.93,0.4,0.89,1.68,1.47
VANG,982.0,32333.0,11.99,40355.82,1.44,0.15,92.9,0.05,4.83,0.63
COOLEY,983.0,32287.0,11.97,40367.79,80.16,16.22,0.36,0.85,1.26,1.16
CARNEY,984.0,32282.0,11.97,40379.76,87.32,8.39,0.5,0.96,1.25,1.57
COWAN,985.0,32242.0,11.95,40391.71,81.67,14.38,0.42,0.58,1.39,1.55
FORBES,986.0,32228.0,11.95,40403.66,74.24,20.26,0.6,0.53,1.89,2.48
FERRELL,987.0,32174.0,11.93,40415.59,76.95,19.21,0.35,0.43,1.4,1.66
DAVIES,988.0,32165.0,11.92,40427.51,91.34,5.01,0.59,0.31,1.28,1.46
BARAJAS,989.0,32147.0,11.92,40439.43,3.28,0.17,0.17,0.18,0.23,95.97
SHEA,990.0,32069.0,11.89,40451.31,95.74,0.34,1.35,0.21,0.97,1.4
OSBORN,991.0,32044.0,11.88,40463.19,92.72,2.85,0.51,0.79,1.49,1.64
BRIGHT,992.0,32042.0,11.88,40475.07,73.21,22.33,0.72,0.62,1.67,1.44
CUEVAS,993.0,32015.0,11.87,40486.94,9.04,0.34,1.85,0.22,0.49,88.05
BOLTON,994.0,31995.0,11.86,40498.8,75.55,20.39,0.39,0.54,1.51,1.62
MURILLO,995.0,31964.0,11.85,40510.65,4.81,0.3,0.87,0.39,0.49,93.13
LUTZ,996.0,31940.0,11.84,40522.49,96.18,0.54,0.44,0.23,0.95,1.64
DUARTE,997.0,31896.0,11.82,40534.31,18.08,1.31,1.02,0.3,2.73,76.56
KIDD,998.0,31886.0,11.82,40546.13,76.98,18.85,0.84,0.52,1.65,1.16
KEY,999.0,31882.0,11.82,40557.95,71.31,23.7,0.72,0.9,1.68,1.69
COOKE,1000.0,31860.0,11.81,40569.76,80.5,15.06,0.44,1.16,1.37,1.47
